pdate,shunt_name,user_id,menu_id
2022-10-31,A,20220716095226_e00497ce2cd9915df130fdafd973d90b,3
2022-10-31,A,20220802134532_200a61956c2f3cf334a9ed7dfeb5eb18,1
2022-10-31,A,20220824171357_7bbe52e1c0aedbcea8faee8bcb708932,4
2022-10-31,A,20220827114819_5dcd651971fbaf1abbedbce249b55575,1
2022-10-31,A,20220827165419_690678518e236ad341e891498fbcd757,2
2022-10-31,A,20220830112907_e0bf266d6f0015f5c80da1923c5ec422,4
2022-10-31,A,20220831094059_e0a053f23f05f77a4dbc768bdab3be28,1
2022-10-31,A,20220831233833_b6298ff4d5543d33fc6ce90b8a38154a,1
2022-10-31,A,20220921184420_c46a9388b17722b8e3d8a3797def8855,1
2022-10-31,A,20220927121217_85f71ce81fba57ad34e89b0aa4d74761,1
2022-10-31,A,20221006111806_c84b0b5a18b3207c6a984569c2c4e7db,3
2022-10-31,A,20221007130715_f354ca62ed21f1983e7dcb3c15d068e0,1
2022-10-31,A,20221017215754_6593cd919c771be0cd6959bfe389ad89,1
2022-10-31,A,20221024180727_0f702c7beaa56515901537fc6cd96ca7,2
2022-10-31,A,20221026174235_af07feb09c76c6d38283af191c173262,1
2022-10-31,A,20221029143748_e3bc43d238e46b9c89e6c7e35f8e8a36,1
2022-10-31,A,20221030065951_34f9d6fbc0fe2c13a8a9bc7799656e3a,1
2022-10-31,A,20221031000131_e1853739d7bd0adb0bc90433c05d5bb2,1
2022-10-31,A,20221031170702_d2d71acec8628806ef6441e2a52d4e6c,1
2022-10-31,B,20190316155800_c14cabe5905aa3162b6b8e6c9224b9e1,2
2022-10-31,B,20220115121222_d2ec6c249484c15be4a800159ee77dc1,1
2022-10-31,B,20220208223803_a23ae9524fe711367e8922cd76492cd0,1
2022-10-31,B,20220216121944_dc944cc4572cd2d55aa83c699dd75c4b,1
2022-10-31,B,20220326184243_854ff7c893e6119785f9bc088a3d077a,2
2022-10-31,B,20220327230218_c3076594f70f839f44396410d13d9d10,2
2022-10-31,B,20220417184500_eb31ae1a9e97d6e613cc82a7cdb9b43e,3
2022-10-31,B,20220426130641_243b113c27ed3880ad05bee44c9a37bc,4
2022-10-31,B,20220603204729_e86ff446968dc211fa109b46e97f4d12,2
2022-10-31,B,20220610141005_586ba019f731f0404ebb1c650525c75a,1
2022-10-31,B,20220614135707_11265f138d36eb511b8c379770109a6a,1
2022-10-31,B,20220703111943_782c5518ddae5ba04d729d5721200e82,2
2022-10-31,B,20220818200433_d0ddfadecfa543ea0a5d8d4bbd65a440,2
2022-10-31,B,20220820104128_09afcf3931a9d62c7ed8de6d62242eff,2
2022-10-31,B,20220820144330_e8e8664f5805096db28c131f86aa7935,1
2022-10-31,B,20220824123346_f073099e8c8acf7c9ea35e083e06d3ad,1
2022-10-31,B,20220830221405_eda0424648a0895a8c336c2c0f10d589,4
2022-10-31,B,20220902142724_ac343e924ddf1ae67b433929a2924f40,1
2022-10-31,B,20220904103238_11fd2393d1c75871fb2879b118a33334,1
2022-10-31,B,20220907152701_bd3022b6d9de46c10ded2f3be74e336f,1
2022-10-31,B,20220910133031_d1273a5f5b066ae226fb6374bbf55bf2,1
2022-10-31,B,20220927101248_ba0427b551e96d88cf2b4364e88b4d23,1
2022-10-31,B,20220929081323_418ae2ad85f4a8e8d4680b1673c73f44,1
2022-10-31,B,20221002133635_80d5cd4d8071893d3e096184879d88ab,1
2022-10-31,B,20221002155352_6810890090552aa244aa1f770648d428,2
2022-10-31,B,20221005091639_4ce3a4bc218667afccb394c914ee8f71,1
2022-10-31,B,20221017233542_f8e58dfa75fd780750ff847d251b5ee1,1
2022-10-31,B,20221026111911_87a8bf7c8cbf9196a60d46ad226f6c46,1
2022-10-31,B,20221026202709_4d3186767164fd4821db1b99c44d6bf8,1
2022-10-31,B,20221028112520_451e510eb534bcbefb1a3e4ea1e04fb5,2
2022-10-31,B,20221030192842_2da4bcda87fa61ae0a6de3c71f5a468f,1
2022-10-31,B,20221031090126_4732bc425ce3b70e84fcf0c9623b95e2,4
2022-10-31,B,20221031114350_4d3117b152344c016a9c198f8ed6e2de,1
2022-11-01,A,20200713191805_17f6e2a3ec142fa24853f35898e72a6c,2
2022-11-01,A,20200827101855_1cb82c8e14d513f9e1a277f2f2d6462f,1
2022-11-01,A,20201224164237_c57e5889c87e22c08c3a8990507dce1e,3
2022-11-01,A,20201231105641_b03a1690ac3a3675dddbe93451902bd1,1
2022-11-01,A,20211003105347_cc833b2a450a5ed22f479985c9d11fef,1
2022-11-01,A,20220212110620_e2a7cfd9a03e593d9dba383fd912c4f9,1
2022-11-01,A,20220302224959_87d0c318054bd0a514323cffaa2f947b,1
2022-11-01,A,20220307190948_0ca04f718ba36790196dbfe12f9ca85e,1
2022-11-01,A,20220410161152_44696e9e2b7eccb05c0e5e6fa5e24996,2
2022-11-01,A,20220513193400_46e6a321cce0180eef58ab8048fd0818,2
2022-11-01,A,20220517194627_01df16c8f338cb01ecec48b7bebe755e,3
2022-11-01,A,20220521174116_d8953f48561a549788a376fc9b3e99fb,1
2022-11-01,A,20220526142257_e0fee4a8affea4b8c690ed088f0b5d93,2
2022-11-01,A,20220527221012_82edf28ee8442876372af4b9236792b5,1
2022-11-01,A,20220603232826_c44a9f1276c4d6f13567b89821ae2d6c,1
2022-11-01,A,20220606071533_e399c7699ef993670ece30e60cfb6328,3
2022-11-01,A,20220609100820_e8b80310379072a0ec2a4e39750be805,2
2022-11-01,A,20220615195502_8f618f6179b9ded3496fa65136d5652e,2
2022-11-01,A,20220617112006_e3753c6fbb12f6fdb9f20691a3751a67,1
2022-11-01,A,20220703191709_eec02365e787fb186249d990ae504ad2,1
2022-11-01,A,20220720155934_2e6ad695aa7063c30954db8ff8029fea,3
2022-11-01,A,20220726224120_06df797e5913018ab5e31032fc32e782,1
2022-11-01,A,20220827114819_5dcd651971fbaf1abbedbce249b55575,2
2022-11-01,A,20220829164157_967974544fc01cab7a3dbf9fc517d4e8,1
2022-11-01,A,20220831094059_e0a053f23f05f77a4dbc768bdab3be28,6
